sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961059E2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2015-07-07T15:57:59.000+00:00,37.804413596,-122.299635835,4.66
2015-07-07T15:58:00.000+00:00,37.804423227,-122.299626554,5.11
2015-07-07T15:58:01.000+00:00,37.804433104,-122.299618528,5.26
2015-07-07T15:58:02.000+00:00,37.804443013,-122.299612317,5.01
2015-07-07T15:58:03.000+00:00,37.804451973,-122.299605286,5.06
2015-07-07T15:58:04.000+00:00,37.804459683,-122.299597472,5.56
2015-07-07T15:58:05.000+00:00,37.8044691,-122.299591139,5.82
2015-07-07T15:58:06.000+00:00,37.804478463,-122.299584932,5.31
2015-07-07T15:58:07.000+00:00,37.804485829,-122.299577325,5.46
2015-07-07T15:58:08.000+00:00,37.804492548,-122.299569324,5.41
2015-07-07T15:58:09.000+00:00,37.804500313,-122.299561738,5.06
2015-07-07T15:58:10.000+00:00,37.804510101,-122.29955327,4.71
2015-07-07T15:58:11.000+00:00,37.804518867,-122.29954077,4.51
2015-07-07T15:58:12.000+00:00,37.804525935,-122.299529227,4.36
2015-07-07T15:58:13.000+00:00,37.804534358,-122.299523353,3.96
2015-07-07T15:58:14.000+00:00,37.804539807,-122.299516425,4.16
2015-07-07T15:58:15.000+00:00,37.804547299,-122.299508936,4.16
2015-07-07T15:58:16.000+00:00,37.804555649,-122.299501303,4.21
2015-07-07T15:58:17.000+00:00,37.804565726,-122.299493474,4.06
2015-07-07T15:58:18.000+00:00,37.804576202,-122.299486832,3.76
2015-07-07T15:58:19.000+00:00,37.804587913,-122.299481832,4.36
2015-07-07T15:58:20.000+00:00,37.804597944,-122.299476322,4.56
2015-07-07T15:58:21.000+00:00,37.804606808,-122.299469602,5.06
2015-07-07T15:58:22.000+00:00,37.804616195,-122.299461671,5.51
2015-07-07T15:58:23.000+00:00,37.804621434,-122.299454636,5.26
2015-07-07T15:58:24.000+00:00,37.804632397,-122.299444547,5.72
2015-07-07T15:58:25.000+00:00,37.804642292,-122.299434963,5.62
2015-07-07T15:58:26.000+00:00,37.804652178,-122.29942866,5.56
2015-07-07T15:58:27.000+00:00,37.804661413,-122.299422937,5.56
2015-07-07T15:58:28.000+00:00,37.804670087,-122.299417842,5.62
2015-07-07T15:58:29.000+00:00,37.804676087,-122.299414563,5.26
2015-07-07T15:58:30.000+00:00,37.804685368,-122.299405595,5.16
2015-07-07T15:58:31.000+00:00,37.804694291,-122.299397806,5.11
2015-07-07T15:58:32.000+00:00,37.804701697,-122.299391831,5.16
2015-07-07T15:58:33.000+00:00,37.804711134,-122.299384767,5.01
2015-07-07T15:58:34.000+00:00,37.804721472,-122.299377155,5.16
2015-07-07T15:58:35.000+00:00,37.804732281,-122.299369505,4.81
2015-07-07T15:58:36.000+00:00,37.804742787,-122.299361273,4.86
2015-07-07T15:58:37.000+00:00,37.804754004,-122.299353865,4.56
2015-07-07T15:58:38.000+00:00,37.804764342,-122.299344559,4.66
2015-07-07T15:58:39.000+00:00,37.80477511,-122.299336433,4.16
2015-07-07T15:58:40.000+00:00,37.804785677,-122.299330071,4.16
2015-07-07T15:58:41.000+00:00,37.804796147,-122.299323994,3.91
2015-07-07T15:58:42.000+00:00,37.804807712,-122.299318188,3.51
2015-07-07T15:58:43.000+00:00,37.804818672,-122.299312736,3.37
2015-07-07T15:58:44.000+00:00,37.804829636,-122.299306767,3.42
2015-07-07T15:58:45.000+00:00,37.804839466,-122.299298641,3.86
2015-07-07T15:58:46.000+00:00,37.804851663,-122.29929385,3.71
